city,tract,county,Total,White,Black,Native,Asian,Pacific Islander,Other,Two or More
 New York,416, Kings County,2304,1971,45,0,105,0,154,29
 New York,400, Kings County,3325,1439,33,0,1463,0,390,0
 New York,423, Kings County,4222,2168,338,24,178,0,1475,39
 New York,424, Kings County,3641,2022,0,19,812,0,721,67
 New York,442, Kings County,2950,2614,0,238,24,0,19,55
 New York,452, Kings County,2658,2540,22,0,31,0,65,0
 New York,462.02, Kings County,2041,1847,0,0,37,0,157,0
 New York,478, Kings County,4538,3532,0,27,221,0,703,55
 New York,480, Kings County,3883,2440,125,0,465,0,845,8
 New York,481, Kings County,3066,2330,168,0,316,0,217,35
 New York,506, Kings County,5653,1519,2390,12,491,0,1084,157
 New York,517, Kings County,2529,2005,61,0,240,0,138,85
 New York,518, Kings County,3188,1130,1528,0,191,0,230,109
 New York,520, Kings County,4297,1593,902,0,1051,0,723,28
 New York,532, Kings County,2740,1713,221,0,614,0,58,134
 New York,546, Kings County,4730,3864,219,0,331,0,21,295
 New York,142, Kings County,2755,1965,61,0,421,0,161,147
 New York,437, Kings County,5795,2222,1777,7,71,0,1442,276
 New York,439, Kings County,3706,1144,1213,90,179,0,884,196
 New York,441, Kings County,5094,2250,586,24,699,0,1462,73
 New York,444, Kings County,3310,2844,85,0,151,0,220,10
 New York,454, Kings County,1645,1326,27,6,94,0,66,126
 New York,462.01, Kings County,2399,2032,14,0,320,0,33,0
 New York,464, Kings County,2768,2572,84,0,32,0,0,80
 New York,500, Kings County,3918,2670,224,0,774,0,128,122
 New York,772, Kings County,2896,1223,1299,32,21,0,285,36
 New York,756, Kings County,1996,1664,57,15,207,0,48,5
 New York,722, Kings County,3014,69,2770,0,50,0,30,95
 New York,734, Kings County,2021,98,1828,0,6,0,80,9
 New York,744, Kings County,2704,2373,217,0,60,0,23,31
 New York,786, Kings County,4910,441,3543,0,283,0,544,99
 New York,824, Kings County,4470,138,4015,0,121,0,171,25
 New York,838, Kings County,2208,30,2043,0,12,0,31,92
 New York,650, Kings County,1576,507,759,0,236,0,64,10
 New York,588, Kings County,3411,2334,92,0,780,0,172,33
 New York,593, Kings County,2194,1836,72,0,74,0,108,104
 New York,640, Kings County,1794,1489,0,0,206,0,41,58
 New York,688, Kings County,1647,533,870,9,152,0,76,7
 New York,752, Kings County,1047,1034,7,0,6,0,0,0
 New York,764, Kings County,3815,1390,1921,0,224,0,172,108
 New York,774, Kings County,3620,583,2502,0,284,0,95,156
 New York,782, Kings County,5030,81,4733,0,54,0,34,128
 New York,790, Kings County,5257,152,4601,122,82,0,258,42
 New York,792, Kings County,3338,480,2336,0,8,0,442,72
 New York,794, Kings County,1669,172,1363,0,0,0,123,11
 New York,836, Kings County,2202,10,2122,12,53,0,5,0
 New York,858, Kings County,2317,24,2234,0,0,0,59,0
 New York,862, Kings County,2753,147,2378,0,0,0,196,32
 New York,880, Kings County,2790,109,2628,0,0,0,0,53
 New York,938, Kings County,2390,19,2323,0,11,0,37,0
 New York,898, Kings County,1614,95,1445,0,19,25,30,0
 New York,918, Kings County,2201,122,1709,5,0,0,340,25
